# File with transport data and reaction rates for a dry air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(2D) + NO -> N2O have actually three-body nature

reaction_list
-----------------------
# Rotational excitation
e + N2 -> e + N2(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2(v),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2(v),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2(v),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2(v),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2(v),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2(v),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2(v),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2(v),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2(v),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(4S) + N(2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(3P) + O(3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(3P) + O(1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(3P) + O(1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(3P),field_table,C28 O2 Attachment
1.703000000000000114e+02 9.083000000000000125e-18
1.763000000000000114e+02 9.813000000000000093e-18
1.825000000000000000e+02 1.056999999999999999e-17
1.890000000000000000e+02 1.135999999999999964e-17
1.955999999999999943e+02 1.217000000000000072e-17
2.025999999999999943e+02 1.302000000000000005e-17
2.096999999999999886e+02 1.388999999999999928e-17
2.170999999999999943e+02 1.478999999999999911e-17
2.248000000000000114e+02 1.571000000000000038e-17
2.326999999999999886e+02 1.667000000000000143e-17
2.409000000000000057e+02 1.763999999999999858e-17
2.495000000000000000e+02 1.864999999999999860e-17
2.583000000000000114e+02 1.968000000000000005e-17
2.673999999999999773e+02 2.072999999999999986e-17
2.768000000000000114e+02 2.181000000000000027e-17
2.866000000000000227e+02 2.292000000000000130e-17
2.966999999999999886e+02 2.405000000000000068e-17
3.071999999999999886e+02 2.520000000000000149e-17
3.181000000000000227e+02 2.637999999999999984e-17
3.293000000000000114e+02 2.757000000000000044e-17
3.408999999999999773e+02 2.879000000000000165e-17
3.530000000000000000e+02 3.002999999999999813e-17
3.653999999999999773e+02 3.127999999999999996e-17
3.783000000000000114e+02 3.255999999999999931e-17
3.916999999999999886e+02 3.383999999999999866e-17
4.055000000000000000e+02 3.515000000000000171e-17
4.198999999999999773e+02 3.645999999999999859e-17
4.346999999999999886e+02 3.778000000000000081e-17
4.501000000000000227e+02 3.911000000000000220e-17
4.660000000000000000e+02 4.045000000000000278e-17
4.823999999999999773e+02 4.178999999999999719e-17
4.995000000000000000e+02 4.312999999999999776e-17
5.171000000000000227e+02 4.446999999999999834e-17
5.353999999999999773e+02 4.579999999999999973e-17
5.542999999999999545e+02 4.713000000000000113e-17
5.737999999999999545e+02 4.843999999999999801e-17
5.941000000000000227e+02 4.975000000000000106e-17
6.151000000000000227e+02 5.103999999999999958e-17
6.367999999999999545e+02 5.230000000000000058e-17
6.592999999999999545e+02 5.355000000000000241e-17
6.826000000000000227e+02 5.477000000000000054e-17
7.067000000000000455e+02 5.596000000000000114e-17
7.317000000000000455e+02 5.713000000000000339e-17
7.575000000000000000e+02 5.824999999999999743e-17
7.842999999999999545e+02 5.933999999999999394e-17
8.120000000000000000e+02 6.040000000000000525e-17
8.407000000000000455e+02 6.140999999999999602e-17
8.703999999999999773e+02 6.237000000000000324e-17
9.011000000000000227e+02 6.329000000000000142e-17
9.328999999999999773e+02 6.416000000000000373e-17
9.658999999999999773e+02 6.496999999999999865e-17
1.000000000000000000e+03 6.573999999999999686e-17
-----------------------


C23 N2 Excitation 12.25 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 0.000000000000000000e+00
1.868000000000000105e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.001999999999999780e+00 0.000000000000000000e+00
2.072999999999999954e+00 0.000000000000000000e+00
2.145999999999999908e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.299999999999999822e+00 0.000000000000000000e+00
2.382000000000000117e+00 0.000000000000000000e+00
2.466000000000000192e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.642999999999999794e+00 0.000000000000000000e+00
2.736000000000000210e+00 0.000000000000000000e+00
2.833000000000000185e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.036999999999999922e+00 0.000000000000000000e+00
3.144000000000000128e+00 0.000000000000000000e+00
3.254999999999999893e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.488999999999999879e+00 0.000000000000000000e+00
3.612000000000000099e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.009000000000000341e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.296999999999999709e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.605999999999999872e+00 0.000000000000000000e+00
4.769000000000000128e+00 0.000000000000000000e+00
4.937000000000000277e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.291999999999999815e+00 0.000000000000000000e+00
5.479000000000000092e+00 0.000000000000000000e+00
5.671999999999999709e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.080000000000000071e+00 0.000000000000000000e+00
6.294999999999999929e+00 0.000000000000000000e+00
6.517000000000000348e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
6.985999999999999766e+00 0.000000000000000000e+00
7.232999999999999652e+00 0.000000000000000000e+00
7.488000000000000433e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.025999999999999801e+00 0.000000000000000000e+00
8.310000000000000497e+00 0.000000000000000000e+00
8.602999999999999758e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.221999999999999531e+00 0.000000000000000000e+00
9.548000000000000043e+00 0.000000000000000000e+00
9.884999999999999787e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.059999999999999964e+01 0.000000000000000000e+00
1.097000000000000064e+01 0.000000000000000000e+00
1.135999999999999943e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.216999999999999993e+01 0.000000000000000000e+00
1.259999999999999964e+01 0.000000000000000000e+00
1.305000000000000071e+01 0.000000000000000000e+00
1.350999999999999979e+01 0.000000000000000000e+00
1.399000000000000021e+01 0.000000000000000000e+00
1.448000000000000043e+01 0.000000000000000000e+00
1.499000000000000021e+01 0.000000000000000000e+00
1.551999999999999957e+01 0.000000000000000000e+00
1.607000000000000028e+01 0.000000000000000000e+00
1.664000000000000057e+01 0.000000000000000000e+00
1.723000000000000043e+01 0.000000000000000000e+00
1.782999999999999829e+01 0.000000000000000000e+00
1.846000000000000085e+01 0.000000000000000000e+00
1.912000000000000099e+01 0.000000000000000000e+00
1.978999999999999915e+01 3.127000000000000177e-29
2.048999999999999844e+01 8.184000000000000234e-29
2.121000000000000085e+01 2.070999999999999976e-28
2.196000000000000085e+01 5.073999999999999918e-28
2.273999999999999844e+01 1.204999999999999960e-27
2.353999999999999915e+01 2.775999999999999917e-27
2.437000000000000099e+01 1.078000000000000047e-26
2.523999999999999844e+01 2.410999999999999946e-26
2.612999999999999901e+01 5.248000000000000294e-26
2.705000000000000071e+01 1.114000000000000060e-25
2.801000000000000156e+01 2.306999999999999897e-25
2.898999999999999844e+01 4.665999999999999646e-25
3.001999999999999957e+01 9.223999999999999597e-25
3.107999999999999829e+01 1.782999999999999911e-24
3.217999999999999972e+01 3.406000000000000275e-24
3.331000000000000227e+01 6.318000000000000111e-24
3.449000000000000199e+01 1.149000000000000016e-23
3.571000000000000085e+01 2.051000000000000034e-23
3.696999999999999886e+01 3.592999999999999708e-23
3.827000000000000313e+01 6.185999999999999603e-23
3.963000000000000256e+01 1.046999999999999967e-22
4.103000000000000114e+01 1.746000000000000008e-22
4.247999999999999687e+01 2.861000000000000047e-22
4.397999999999999687e+01 4.614999999999999621e-22
4.553000000000000114e+01 7.333999999999999615e-22
4.714000000000000057e+01 1.148999999999999934e-21
4.879999999999999716e+01 1.774999999999999869e-21
5.053000000000000114e+01 2.705000000000000048e-21
5.231000000000000227e+01 4.072999999999999736e-21
5.415999999999999659e+01 6.045999999999999723e-21
5.607000000000000028e+01 8.865000000000000592e-21
5.804999999999999716e+01 1.284000000000000014e-20
6.010000000000000142e+01 1.839000000000000083e-20
6.222999999999999687e+01 2.602000000000000074e-20
6.442000000000000171e+01 3.642000000000000294e-20
6.670000000000000284e+01 5.051000000000000245e-20
6.906000000000000227e+01 6.916000000000000168e-20
7.148999999999999488e+01 9.372999999999999641e-20
7.401999999999999602e+01 1.258000000000000114e-19
7.662999999999999545e+01 1.670000000000000069e-19
7.934000000000000341e+01 2.197999999999999783e-19
8.214000000000000057e+01 2.864000000000000226e-19
8.504000000000000625e+01 3.699000000000000020e-19
8.804999999999999716e+01 4.736000000000000260e-19
9.115999999999999659e+01 6.012000000000000250e-19
9.437999999999999545e+01 7.569999999999999972e-19
9.770999999999999375e+01 9.455000000000000919e-19
1.012000000000000028e+02 1.172000000000000004e-18
1.047000000000000028e+02 1.441999999999999915e-18
1.084000000000000057e+02 1.761000000000000105e-18
1.122999999999999972e+02 2.136000000000000036e-18
1.162000000000000028e+02 2.573999999999999939e-18
1.202999999999999972e+02 3.083000000000000081e-18
1.245999999999999943e+02 3.669000000000000276e-18
1.290000000000000000e+02 4.341000000000000244e-18
1.335000000000000000e+02 5.109000000000000317e-18
1.383000000000000114e+02 5.979000000000000310e-18
1.430999999999999943e+02 6.961000000000000169e-18
1.481999999999999886e+02 8.064999999999999841e-18
1.534000000000000057e+02 9.299999999999999818e-18
1.589000000000000057e+02 1.068000000000000018e-17
1.645000000000000000e+02 1.219999999999999979e-17
1.703000000000000114e+02 1.388000000000000010e-17
1.763000000000000114e+02 1.574000000000000099e-17
1.825000000000000000e+02 1.777000000000000020e-17
1.890000000000000000e+02 2.000000000000000143e-17
1.955999999999999943e+02 2.241999999999999934e-17
2.025999999999999943e+02 2.505000000000000152e-17
2.096999999999999886e+02 2.789000000000000182e-17
2.170999999999999943e+02 3.095000000000000248e-17
2.248000000000000114e+02 3.424000000000000270e-17
2.326999999999999886e+02 3.776000000000000245e-17
2.409000000000000057e+02 4.153000000000000011e-17
2.495000000000000000e+02 4.552999999999999732e-17
2.583000000000000114e+02 4.978999999999999776e-17
2.673999999999999773e+02 5.430000000000000227e-17
2.768000000000000114e+02 5.905000000000000550e-17
2.866000000000000227e+02 6.405999999999999964e-17
2.966999999999999886e+02 6.931999999999999784e-17
3.071999999999999886e+02 7.483000000000000011e-17
3.181000000000000227e+02 8.057999999999999493e-17
3.293000000000000114e+02 8.656999999999999465e-17
3.408999999999999773e+02 9.279000000000000007e-17
3.530000000000000000e+02 9.922999999999999970e-17
3.653999999999999773e+02 1.059000000000000050e-16
3.783000000000000114e+02 1.128000000000000038e-16
3.916999999999999886e+02 1.197999999999999942e-16
4.055000000000000000e+02 1.271000000000000093e-16
4.198999999999999773e+02 1.344999999999999915e-16
4.346999999999999886e+02 1.421000000000000065e-16
4.501000000000000227e+02 1.497999999999999887e-16
4.660000000000000000e+02 1.576000000000000119e-16
4.823999999999999773e+02 1.655999999999999940e-16
4.995000000000000000e+02 1.736999999999999925e-16
5.171000000000000227e+02 1.817999999999999910e-16
5.353999999999999773e+02 1.900000000000000059e-16
5.542999999999999545e+02 1.981999999999999962e-16
5.737999999999999545e+02 2.065000000000000028e-16
5.941000000000000227e+02 2.148000000000000095e-16
6.151000000000000227e+02 2.231000000000000162e-16
6.367999999999999545e+02 2.314000000000000229e-16
6.592999999999999545e+02 2.395999999999999885e-16
6.826000000000000227e+02 2.478000000000000034e-16
7.067000000000000455e+02 2.558999999999999772e-16
7.317000000000000455e+02 2.639000000000000086e-16
7.575000000000000000e+02 2.718999999999999907e-16
7.842999999999999545e+02 2.796999999999999893e-16
8.120000000000000000e+02 2.873999999999999961e-16
8.407000000000000455e+02 2.949000000000000193e-16
8.703999999999999773e+02 3.023000000000000015e-16
9.011000000000000227e+02 3.095000000000000002e-16
9.328999999999999773e+02 3.165000000000000153e-16
9.658999999999999773e+02 3.232999999999999976e-16
1.000000000000000000e+03 3.299999999999999882e-16
-----------------------


C24 N2 Excitation 13.00 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 0.000000000000000000e+00
1.868000000000000105e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.001999999999999780e+00 0.000000000000000000e+00
2.072999999999999954e+00 0.000000000000000000e+00
2.145999999999999908e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.299999999999999822e+00 0.000000000000000000e+00
2.382000000000000117e+00 0.000000000000000000e+00
2.466000000000000192e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.642999999999999794e+00 0.000000000000000000e+00
2.736000000000000210e+00 0.000000000000000000e+00
2.833000000000000185e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.036999999999999922e+00 0.000000000000000000e+00
3.144000000000000128e+00 0.000000000000000000e+00
3.254999999999999893e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.488999999999999879e+00 0.000000000000000000e+00
3.612000000000000099e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.009000000000000341e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.296999999999999709e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.605999999999999872e+00 0.000000000000000000e+00
4.769000000000000128e+00 0.000000000000000000e+00
4.937000000000000277e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.291999999999999815e+00 0.000000000000000000e+00
5.479000000000000092e+00 0.000000000000000000e+00
5.671999999999999709e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.080000000000000071e+00 0.000000000000000000e+00
6.294999999999999929e+00 0.000000000000000000e+00
6.517000000000000348e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
6.985999999999999766e+00 0.000000000000000000e+00
7.232999999999999652e+00 0.000000000000000000e+00
7.488000000000000433e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.025999999999999801e+00 0.000000000000000000e+00
8.310000000000000497e+00 0.000000000000000000e+00
8.602999999999999758e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.221999999999999531e+00 0.000000000000000000e+00
9.548000000000000043e+00 0.000000000000000000e+00
9.884999999999999787e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.059999999999999964e+01 0.000000000000000000e+00
1.097000000000000064e+01 0.000000000000000000e+00
1.135999999999999943e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.216999999999999993e+01 0.000000000000000000e+00
1.259999999999999964e+01 0.000000000000000000e+00
1.305000000000000071e+01 0.000000000000000000e+00
1.350999999999999979e+01 0.000000000000000000e+00
1.399000000000000021e+01 0.000000000000000000e+00
1.448000000000000043e+01 0.000000000000000000e+00
1.499000000000000021e+01 0.000000000000000000e+00
1.551999999999999957e+01 0.000000000000000000e+00
1.607000000000000028e+01 0.000000000000000000e+00
1.664000000000000057e+01 0.000000000000000000e+00
1.723000000000000043e+01 0.000000000000000000e+00
1.782999999999999829e+01 0.000000000000000000e+00
1.846000000000000085e+01 0.000000000000000000e+00
1.912000000000000099e+01 0.000000000000000000e+00
1.978999999999999915e+01 0.000000000000000000e+00
2.048999999999999844e+01 0.000000000000000000e+00
2.121000000000000085e+01 0.000000000000000000e+00
2.196000000000000085e+01 0.000000000000000000e+00
2.273999999999999844e+01 0.000000000000000000e+00
2.353999999999999915e+01 0.000000000000000000e+00
2.437000000000000099e+01 1.683000000000000056e-26
2.523999999999999844e+01 4.015999999999999994e-26
2.612999999999999901e+01 9.313999999999999572e-26
2.705000000000000071e+01 2.102000000000000018e-25
2.801000000000000156e+01 4.617999999999999782e-25
2.898999999999999844e+01 9.889999999999999548e-25
3.001999999999999957e+01 2.066000000000000028e-24
3.107999999999999829e+01 4.214999999999999637e-24
3.217999999999999972e+01 8.625999999999999454e-24
3.331000000000000227e+01 1.687000000000000036e-23
3.449000000000000199e+01 3.228999999999999710e-23
3.571000000000000085e+01 6.057000000000000373e-23
3.696999999999999886e+01 1.113999999999999976e-22
3.827000000000000313e+01 2.011000000000000088e-22
3.963000000000000256e+01 3.562999999999999808e-22
4.103000000000000114e+01 6.218999999999999576e-22
4.247999999999999687e+01 1.064000000000000008e-21
4.397999999999999687e+01 1.791000000000000129e-21
4.553000000000000114e+01 2.967000000000000079e-21
4.714000000000000057e+01 4.839000000000000068e-21
4.879999999999999716e+01 7.774000000000000003e-21
5.053000000000000114e+01 1.230999999999999970e-20
5.231000000000000227e+01 1.925000000000000109e-20
5.415999999999999659e+01 2.962999999999999901e-20
5.607000000000000028e+01 4.502999999999999868e-20
5.804999999999999716e+01 6.753000000000000534e-20
6.010000000000000142e+01 9.999999999999999752e-20
6.222999999999999687e+01 1.462999999999999938e-19
6.442000000000000171e+01 2.115999999999999950e-19
6.670000000000000284e+01 3.028999999999999926e-19
6.906000000000000227e+01 4.279000000000000015e-19
7.148999999999999488e+01 5.978000000000000084e-19
7.401999999999999602e+01 8.261999999999999833e-19
7.662999999999999545e+01 1.129999999999999958e-18
7.934000000000000341e+01 1.529999999999999948e-18
8.214000000000000057e+01 2.049999999999999877e-18
8.504000000000000625e+01 2.723000000000000071e-18
8.804999999999999716e+01 3.581999999999999891e-18
9.115999999999999659e+01 4.669999999999999803e-18
9.437999999999999545e+01 6.037000000000000309e-18
9.770999999999999375e+01 7.737999999999999963e-18
1.012000000000000028e+02 9.838999999999999800e-18
1.047000000000000028e+02 1.242000000000000016e-17
1.084000000000000057e+02 1.555000000000000123e-17
1.122999999999999972e+02 1.933000000000000114e-17
1.162000000000000028e+02 2.387000000000000010e-17
1.202999999999999972e+02 2.927999999999999827e-17
1.245999999999999943e+02 3.569999999999999955e-17
1.290000000000000000e+02 4.325999999999999938e-17
1.335000000000000000e+02 5.213000000000000226e-17
1.383000000000000114e+02 6.245999999999999582e-17
1.430999999999999943e+02 7.444999999999999443e-17
